"Trial.key","Frame.number","Evidence.for.stim.1","Evidence.for.stim.2"
1364,0,216,184
1365,0,219,181
1366,0,222,178
1367,0,222,178
1368,0,175,225
1369,0,228,172
1370,0,172,228
1371,0,225,175
1372,0,222,178
1373,0,175,225
1374,0,175,225
1375,0,178,222
1376,0,225,175
1377,0,175,225
1378,0,228,172
1379,0,172,228
1380,0,225,175
1381,0,178,222
1382,0,225,175
1383,0,225,175
1384,0,222,178
1385,0,175,225
1386,0,225,175
1387,0,222,178
1388,0,181,219
1389,0,216,184
1390,0,219,181
1391,0,219,181
1392,0,222,178
1393,0,178,222
1394,0,181,219
1395,0,216,184
1396,0,213,187
1397,0,210,190
1398,0,187,213
1399,0,187,213
1400,0,184,216
1401,0,216,184
1402,0,181,219
1403,0,181,219
1404,0,216,184
1405,0,187,213
1406,0,210,190
1407,0,187,213
1408,0,187,213
1409,0,210,190
1410,0,193,207
1411,0,190,210
1412,0,190,210
1413,0,213,187
1414,0,216,184
1415,0,216,184
1416,0,181,219
1417,0,222,178
1418,0,222,178
1419,0,219,181
1420,0,184,216
1421,0,187,213
1422,0,210,190
1423,0,193,207
1424,0,204,196
1425,0,193,207
1426,0,190,210
1427,0,187,213
1428,0,213,187
1429,0,210,190
1430,0,207,193
1431,0,190,210
1432,0,210,190
1433,0,207,193
1434,0,196,204
1435,0,199,201
1436,0,204,196
1437,0,207,193
1438,0,210,190
1439,0,190,210
1440,0,213,187
1441,0,184,216
1442,0,219,181
1443,0,178,222
1444,0,222,178
1445,0,219,181
1446,0,216,184
1447,0,213,187
1448,0,184,216
1449,0,219,181
1450,0,219,181
1451,0,216,184
1452,0,187,213
1453,0,216,184
1454,0,219,181
1455,0,219,181
1456,0,184,216
1457,0,187,213
1458,0,184,216
1459,0,219,181
1460,0,219,181
1461,0,184,216
1462,0,213,187
1463,0,184,216
1464,0,216,184
1465,0,213,187
1466,0,210,190
1467,0,213,187
1468,0,187,213
1469,0,190,210
1470,0,187,213
1471,0,187,213
1472,0,216,184
1473,0,216,184
1474,0,187,213
1475,0,216,184
1476,0,219,181
1477,0,219,181
1478,0,216,184
1479,0,187,213
1480,0,184,216
1481,0,219,181
1482,0,178,222
1483,0,225,175
1484,0,175,225
1485,0,222,178
1486,0,181,219
1487,0,178,222
1488,0,175,225
1489,0,175,225
1490,0,222,178
1491,0,181,219
1492,0,216,184
1493,0,181,219
1494,0,178,222
1495,0,222,178
1496,0,219,181
1497,0,184,216
1498,0,219,181
1499,0,219,181
1500,0,216,184
1501,0,219,181
1502,0,218,182
1503,0,221,179
1504,0,218,182
1505,0,179,221
1506,0,182,218
1507,0,185,215
1508,0,212,188
1509,0,212,188
1510,0,188,212
1511,0,209,191
1512,0,191,209
1513,0,212,188
1514,0,194,206
1515,0,197,203
1516,0,206,194
1517,0,199,201
1518,0,207,193
1519,0,199,201
1520,0,199,201
1521,0,199,201
1522,0,201,199
1523,0,199,201
1524,0,196,204
1525,0,196,204
1526,0,193,207
1527,0,190,210
1528,0,196,204
1529,0,207,193
1530,0,190,210
1531,0,210,190
1532,0,210,190
1533,0,196,204
1534,0,193,207
1535,0,210,190
1536,0,207,193
1537,0,204,196
1538,0,207,193
1539,0,204,196
1540,0,207,193
1541,0,207,193
1542,0,190,210
1543,0,210,190
1544,0,193,207
1545,0,204,196
1546,0,207,193
1547,0,193,207
1548,0,210,190
1549,0,187,213
1550,0,210,190
1551,0,207,193
1552,0,196,204
1553,0,199,201
1554,0,201,199
1555,0,199,201
1556,0,199,201
1557,0,201,199
1558,0,201,199
1559,0,201,199
1560,0,199,201
1561,0,190,210
1562,0,207,193
1563,0,210,190
1564,0,210,190
1565,0,187,213
1566,0,184,216
1567,0,216,184
1568,0,187,213
1569,0,210,190
1570,0,213,187
1571,0,210,190
1572,0,213,187
1573,0,184,216
1574,0,213,187
1575,0,210,190
1576,0,207,193
1577,0,184,216
1578,0,184,216
1579,0,213,187
1580,0,216,184
1581,0,181,219
1582,0,222,178
1583,0,222,178
1584,0,219,181
1585,0,187,213
1586,0,210,190
1587,0,213,187
1588,0,187,213
1589,0,207,193
1590,0,196,204
1591,0,201,199
1592,0,201,199
1593,0,207,193
1594,0,190,210
1595,0,204,196
1596,0,196,204
1597,0,201,199
1598,0,207,193
1599,0,190,210
1600,0,193,207
1601,0,204,196
1602,0,207,193
1603,0,196,204
1604,0,201,199
1605,0,196,204
1606,0,207,193
1607,0,207,193
1608,0,193,207
1609,0,207,193
1610,0,210,190
1611,0,204,196
1612,0,193,207
1613,0,204,196
1614,0,199,201
1615,0,199,201
1616,0,201,199
1617,0,201,199
1618,0,199,201
1619,0,193,207
1620,0,204,196
1621,0,201,199
1622,0,199,201
1623,0,199,201
1624,0,196,204
1625,0,207,193
1626,0,227,173
1627,0,176,224
1628,0,173,227
1629,0,173,227
1630,0,230,170
1631,0,170,230
1632,0,173,227
1633,0,176,224
1634,0,221,179
1635,0,224,176
1636,0,176,224
1637,0,179,221
1638,0,182,218
1639,0,215,185
1640,0,212,188
1641,0,185,215
1642,0,218,182
1643,0,221,179
1644,0,179,221
1645,0,218,182
1646,0,215,185
1647,0,188,212
1648,0,215,185
1649,0,185,215
